foia_sheet,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Alabama,2,2,2,2,2,2,2,2,0,2,2,797,2,2,2,2,2,2,2,2,2,2
Alaska,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0,0,0,5754,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,917,988,1072,992,1400,1048,1092,1097,1121,1090,1034,1034,946,999,975
California,0,0,0,0,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,0,0,0
Colorado,115,294,303,305,309,309,672,317,317,316,318,3941,331,317,312,314,311,302,294,286,277,280
Connecticut,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,406,441,452,448,521,444,445,428,420,701,405,440,430,441,445,440,0,0,0,0
Florida,0,769,293,287,264,271,272,272,274,385,378,995,0,0,0,0,0,0,0,0,0,0
Georgia,146,1958,805,810,491,812,2110,774,119,1034,1008,3251,956,973,715,722,689,718,700,707,676,691
Hawaii,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,135,135,135,146,147,12,16,55,55,259,55,56,39,27,16,16,16,16,16,16
Illinois,0,2675,2939,2990,2626,2530,2669,2461,2710,2700,3052,4463,3152,3145,3085,3062,3140,3036,3090,3073,2841,2863
Indiana,0,1689,1768,1868,1890,1896,1953,1973,1993,1984,1988,1999,1991,1949,1907,1892,1877,1855,1830,1777,1729,1670
Iowa,0,0,0,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0
Kentucky,0,191,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,27,156,223,222,155,166,2599,309,300,295,403,2213,488,426,1210,842
MISSING_TO_SITE,0,4438,5345,2699,2834,5590,6157,5744,5962,5819,5741,5781,5460,5463,5391,5343,815,667,34,35,36,35
Maine,0,0,0,83,117,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0
Maryland,0,1,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,2435,2424,2441,2449,2070,2065,2042,2014,1992,1987,3141,1969,0,0,0,0,0,0,0,0,0
Michigan,0,1059,1069,1063,1062,1061,1050,1057,1036,1031,1029,1026,1079,1068,1040,993,1018,633,637,632,567,538
Minnesota,0,0,0,0,0,0,0,0,0,0,0,1999,1862,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0
Missouri,2864,3331,3385,3385,3270,3426,3205,3412,3390,3519,3716,6561,3431,3185,2614,2347,1923,2586,2476,2469,2531,2608
Montana,0,0,0,0,0,0,1651,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,1,143,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,4269,4293,4235,4218,4086,4229,3976,3897,3656,3452,5464,2921,2684,2273,2176,2116,2071,1964,1924,1903,1779
New Mexico,3,9,11,15,15,16,15,16,12,9,7,1134,3,2,2,2,1,0,0,0,0,0
New York,13,13,18,18,18,16,216,18,13,13,9,336,13,13,13,13,13,17,17,17,15,13
North Carolina,0,0,0,0,0,0,289,0,0,0,0,1911,0,0,0,0,0,0,0,0,0,0
North Dakota,0,3099,0,0,0,0,3067,3117,3101,3040,3041,3063,3013,2951,2957,3009,3017,3007,3023,2963,2951,2939
Ohio,1939,1969,1953,2010,2043,2103,2101,2145,2162,2152,2049,2049,2038,2017,2034,2042,2062,410,382,382,380,371
Oklahoma,0,175,176,195,189,188,192,284,292,290,307,1025,268,290,302,304,288,277,280,264,297,310
Oregon,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0
Pennsylvania,5395,5499,4829,5606,5701,5883,6005,5474,5788,5986,5759,5655,5792,5658,5544,5283,5732,193,42,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0
Rhode Island,197,670,254,250,227,228,228,195,0,0,0,261,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0,1796,0,0,0,0,0,0,0,0,0,0
South Dakota,5622,0,0,0,6193,0,0,0,0,0,0,6060,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0
Texas,0,1673,1511,1645,1655,1633,1627,1595,1509,1520,1436,1670,1818,1891,1632,1560,1728,1487,1892,2239,2356,2346
Utah,0,2275,2274,2557,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,1,19,20,20,21,20,19,19,727,19,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,0,0,12,822,854,838,834,820
West Virginia,8,8,8,8,8,8,7,6,10,5,4,452,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,16,16,16,16,16,6084,16,16,16,16,16,16,16,16,16,17
Wyoming,0,0,0,0,0,0,326,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0
