foia_sheet,rows,num_years,latest_year,earliest_year
Pennsylvania,95824,19,2021,2003
MISSING_TO_SITE,80583,42,2020,1979
Missouri,79247,26,2021,1996
New Hampshire,67586,21,2020,2000
Illinois,64643,43,2020,1978
Indiana,60900,36,2020,1985
North Dakota,51358,17,2020,2000
Ohio,39566,32,2021,1990
Texas,38167,41,2020,1980
Arkansas,29015,35,2014,1980
Georgia,27928,48,2021,1974
Massachusetts,27029,12,2020,2009
Louisiana,23661,46,2015,1959
Michigan,20789,23,2020,1998
South Dakota,17875,3,2021,2010
Washington,12923,22,2010,1985
Colorado,10813,37,2021,1985
Utah,9815,4,2020,2017
Oklahoma,9738,41,2020,1980
Delaware,7307,16,2019,2004
Wisconsin,6517,28,2015,1988
Arizona,5754,1,2010,2010
Florida,4460,11,2020,2010
Minnesota,3861,2,2010,2009
California,3845,1,2010,2010
Montana,3121,2,2015,2010
Rhode Island,2510,9,2021,2010
North Carolina,2200,2,2015,2010
South Carolina,1796,1,2010,2010
New York,1491,84,2021,1937
Idaho,1490,39,2019,1974
New Mexico,1272,17,2021,2005
Mississippi,988,1,2010,2010
Iowa,982,1,2010,2010
Vermont,885,10,2018,2009
Oregon,863,1,2010,2010
Alabama,843,24,2021,1996
Wyoming,654,2,2015,2010
Maine,603,3,2018,2010
Connecticut,575,1,2010,2010
Kansas,537,1,2010,2010
West Virginia,532,12,2021,2010
Puerto Rico,522,1,2010,2010
Hawaii,472,1,2010,2010
Tennessee,423,1,2010,2010
Nebraska,406,1,2010,2010
Kentucky,396,2,2020,2010
Alaska,347,1,2010,2010
Virginia,288,1,2010,2010
Nevada,144,2,2011,2010
Maryland,8,5,2020,2010
