cn_qnty_yr,rows,num_sheets
2021,16304,11
2020,34063,22
2019,28857,22
2018,30350,23
2017,36062,24
2016,27153,22
2015,34684,28
2014,30702,25
2013,30345,23
2012,31446,24
2011,31200,25
2010,88936,49
2009,34781,23
2008,28058,20
2007,26314,20
2006,25621,20
2005,25899,21
2004,21135,20
2003,19037,19
2002,18977,18
2001,19600,18
2000,19080,18
1999,10215,15
1998,8112,16
1997,7058,15
1996,7126,15
1995,4570,13
1994,6481,13
1993,3897,13
1992,4136,13
1991,4241,13
1990,3869,13
1989,5030,12
1988,2995,11
1987,2732,10
1986,2449,10
1985,3134,10
1984,1122,7
1983,1099,7
1982,1075,7
1981,1060,8
1980,1071,8
1979,1336,5
1978,339,5
1977,295,4
1976,273,4
1975,271,4
1974,77,4
1973,15,2
1972,16,1
1971,16,1
1969,20,2
1968,12,1
1967,13,2
1966,10,1
1965,13,1
1964,12,1
1963,11,1
1962,11,1
1961,11,1
1960,11,1
1959,14,2
1958,11,1
1957,11,1
1956,9,1
1955,9,1
1954,9,1
1953,9,1
1952,7,1
1951,7,1
1950,4,1
1949,4,1
1948,4,1
1947,4,1
1946,3,1
1945,3,1
1944,3,1
1943,3,1
1942,3,1
1941,3,1
1940,3,1
1939,2,1
1938,3,1
1937,3,1
